Iter, Loss per batch
1,0.7568
2,0.7104
3,0.6740
4,0.6860
5,0.6624
6,0.6581
7,0.6116
8,0.6646
9,0.5744
10,0.6610
11,0.6517
12,0.6029
13,0.6722
14,0.5913
15,0.5842
16,0.5710
17,0.5661
18,0.5311
19,0.5779
20,0.5536
21,0.5673
22,0.5221
23,0.5812
24,0.4819
25,0.5340
26,0.4901
27,0.4359
28,0.6043
29,0.4841
30,0.5499
31,0.4780
32,0.5585
33,0.4192
34,0.4494
35,0.6046
36,0.3881
37,0.7158
38,0.5508
39,0.5620
40,0.4738
41,0.4865
42,0.4777
43,0.4532
44,0.4148
45,0.3835
46,0.4655
47,0.4643
48,0.4589
49,0.4218
50,0.4370
51,0.4666
52,0.4276
53,0.6493
54,0.4591
55,0.4267
56,0.4009
57,0.5208
58,0.4581
59,0.4210
60,0.5278
61,0.5446
62,0.4770
63,0.5895
64,0.4182
65,0.4498
66,0.4250
67,0.3464
68,0.3189
69,0.5727
70,0.3996
71,0.5101
72,0.4442
73,0.4213
74,0.4374
75,0.4194
76,0.3954
77,0.4112
78,0.3131
79,0.4175
80,0.4911
81,0.3297
82,0.3969
83,0.3864
84,0.4125
85,0.3080
86,0.4752
87,0.5351
88,0.4455
89,0.3703
90,0.4015
91,0.4050
92,0.5190
93,0.3617
94,0.2673
95,0.3599
96,0.3806
97,0.4469
98,0.2823
99,0.3773
100,0.3919
101,0.3588
102,0.6127
103,0.4718
104,0.3906
105,0.3286
106,0.2236
107,0.2638
108,0.4509
109,0.2365
110,0.2665
111,0.2677
112,0.5329
113,0.5426
114,0.3139
115,0.1968
116,0.3224
117,0.2849
118,0.3627
119,0.2483
120,0.2746
121,0.2603
122,0.4887
123,0.6038
124,0.4224
125,0.2383
126,0.2166
127,0.2925
128,0.5148
129,0.4332
130,0.3248
131,0.2187
132,0.3622
133,0.4740
134,0.3444
135,0.2439
136,0.3314
137,0.2928
138,0.2828
139,0.4266
140,0.5556
141,0.2782
142,0.2631
143,0.3475
144,0.2749
145,0.3043
146,0.3760
147,0.4447
148,0.4094
149,0.2717
150,0.2457
151,0.3164
152,0.3326
153,0.3122
154,0.2935
155,0.3136
156,0.2879
157,0.2858
158,0.4597
159,0.4351
160,0.3410
161,0.4191
162,0.1787
163,0.3947
164,0.2393
165,0.4822
166,0.1951
167,0.2740
168,0.5940
169,0.3463
170,0.2808
171,0.2517
172,0.3741
173,0.2836
174,0.1905
175,0.2479
176,0.2363
177,0.2743
178,0.2405
179,0.3361
180,0.2821
181,0.2052
182,0.3464
183,0.4149
184,0.3132
185,0.1865
186,0.4366
187,0.4109
188,0.2710
189,0.4773
190,0.3331
191,0.3751
192,0.2522
193,0.3265
194,0.4090
195,0.2117
196,0.2504
197,0.3583
198,0.2106
199,0.3088
200,0.4111
201,0.2137
202,0.3425
203,0.2375
204,0.5911
205,0.2778
206,0.3434
207,0.3329
208,0.2432
209,0.1547
210,0.4494
211,0.3338
212,0.1993
213,0.2596
214,0.4775
215,0.3848
216,0.2781
217,0.4520
218,0.3178
219,0.2907
220,0.3392
221,0.1991
222,0.2593
223,0.3617
224,0.3253
225,0.3469
226,0.1985
227,0.3033
228,0.4048
229,0.3063
230,0.2221
231,0.3923
232,0.3378
233,0.3647
234,0.1770
235,0.2728
236,0.2521
237,0.2476
238,0.2129
239,0.3104
240,0.4510
241,0.2969
242,0.1896
243,0.2594
244,0.2524
245,0.2565
246,0.1368
247,0.3300
248,0.1602
249,0.3093
250,0.4424
251,0.2469
252,0.1459
253,0.2295
254,0.3147
255,0.3483
256,0.5437
257,0.3120
258,0.2124
259,0.2445
260,0.2311
261,0.3113
262,0.3265
263,0.4453
264,0.2342
265,0.2549
266,0.2023
267,0.3304
268,0.2587
269,0.2792
270,0.3104
271,0.1531
272,0.3756
273,0.3343
274,0.1970
275,0.2662
276,0.2866
277,0.4702
278,0.3684
279,0.2466
280,0.3222
281,0.2215
282,0.2163
283,0.3291
284,0.3784
285,0.1356
286,0.1866
287,0.1948
288,0.1575
289,0.4539
290,0.1945
291,0.1587
292,0.2721
293,0.3081
294,0.3366
295,0.2578
296,0.2643
297,0.1495
298,0.2911
299,0.3277
300,0.4517
301,0.5131
302,0.1814
303,0.2628
304,0.1961
305,0.2817
306,0.1996
307,0.2037
308,0.1956
309,0.2453
310,0.2823
311,0.2178
312,0.1268
313,0.3973
314,0.1969
315,0.2054
316,0.2462
317,0.3379
318,0.0959
319,0.2157
320,0.1731
321,0.1958
322,0.2062
323,0.2954
324,0.2631
325,0.2350
326,0.3612
327,0.3122
328,0.1840
329,0.2968
330,0.2968
331,0.2993
332,0.1159
333,0.1877
334,0.1796
335,0.1608
336,0.3187
337,0.3323
338,0.2836
339,0.3389
340,0.2053
341,0.1702
342,0.1421
343,0.3809
344,0.1447
345,0.1989
346,0.3058
