Iter, Loss per batch
1,0.7071
2,4.2427
3,0.9199
4,0.6639
5,0.9443
6,1.0214
7,0.7008
8,0.9409
9,0.6496
10,0.7070
11,0.6574
12,0.6308
13,0.6410
14,0.6403
15,0.7126
16,0.7744
17,0.6931
18,0.7028
19,0.6315
20,0.7106
21,0.5867
22,0.6497
23,0.6340
24,0.6406
25,0.6539
26,0.6632
27,0.4920
28,0.6009
29,0.5119
30,0.5997
31,0.6599
32,0.5939
33,0.4851
34,0.6635
35,0.6538
36,0.6754
37,0.5684
38,0.6852
39,0.5212
40,0.5983
41,0.5855
42,0.5364
43,0.6926
44,0.5369
45,0.5880
46,0.6729
47,0.6040
48,0.6719
49,0.5363
50,0.6585
51,0.5916
52,0.5956
53,0.6790
54,0.5426
55,0.5463
56,0.4932
57,0.5062
58,0.5146
59,0.6524
60,0.4427
61,0.5585
62,0.4134
63,0.4611
64,0.5725
65,0.4787
66,0.5815
67,0.6401
68,0.4981
69,0.5501
70,0.5266
71,0.4991
72,0.5138
73,0.4478
74,0.4471
75,0.6844
76,0.4949
77,0.5286
78,0.6030
79,0.6217
80,0.5399
81,0.5502
82,0.4313
83,0.4622
84,0.7257
85,0.4524
86,0.6201
87,0.4621
88,0.7039
89,0.5404
90,0.5640
91,0.4677
92,0.5964
93,0.4553
94,0.5165
95,0.6586
96,0.3687
97,0.4628
98,0.3609
99,0.3992
100,0.6322
101,0.5665
102,0.6043
103,0.4154
104,0.5685
105,0.4852
106,0.4223
107,0.4464
108,0.3761
109,0.4545
110,0.6016
111,0.3487
112,0.4045
113,0.7160
114,0.4299
115,0.4924
116,0.4584
117,0.4401
118,0.4234
119,0.5010
120,0.6603
121,0.4895
122,0.5383
123,0.4952
124,0.5238
125,0.4489
126,0.4680
127,0.3650
128,0.6255
129,0.5738
130,0.5123
131,0.5354
132,0.5308
133,0.4240
134,0.4267
135,0.4897
136,0.3768
137,0.4464
138,0.3848
139,0.4379
140,0.3229
141,0.3609
142,0.4186
143,0.5095
144,0.3994
145,0.3042
146,0.3682
147,0.4861
148,0.4494
149,0.4285
150,0.4284
151,0.4620
152,0.3570
153,0.4279
154,0.5417
155,0.5257
156,0.5101
157,0.3194
158,0.4275
159,0.6015
160,0.5610
161,0.5141
162,0.4602
