Epoch, Train loss, Train accuracy, Validation loss, Validation accuracy, Validation precision, Validation recall, Validation F1-Score
Epoch, Train loss, Train accuracy, Validation loss, Validation accuracy, Validation precision, Validation recall, Validation F1-Score
1,0.1334,0.9482,0.2823,0.8906,0.9248,0.9441,0.9343
2,0.0787,0.9704,0.3424,0.8959,0.9040,0.9774,0.9393
3,0.0618,0.9771,0.3307,0.9011,0.9255,0.9572,0.9411
4,0.0477,0.9825,0.3949,0.9022,0.9323,0.9504,0.9412
5,0.0416,0.9849,0.4542,0.9025,0.9362,0.9463,0.9412
6,0.0382,0.9864,0.4495,0.9033,0.9400,0.9428,0.9414
7,0.0314,0.9887,0.6124,0.9033,0.9265,0.9588,0.9424
8,0.0281,0.9900,0.4129,0.9001,0.9380,0.9410,0.9395
9,0.0259,0.9909,0.6030,0.9019,0.9191,0.9661,0.9420
10,0.0219,0.9925,0.5582,0.9009,0.9224,0.9606,0.9411
11,0.0200,0.9930,0.7104,0.9071,0.9310,0.9583,0.9445
12,0.0185,0.9936,0.7091,0.8999,0.9254,0.9556,0.9403
13,0.0151,0.9948,0.6698,0.9007,0.9258,0.9562,0.9408
14,0.0141,0.9952,0.7799,0.9064,0.9329,0.9551,0.9439
15,0.0130,0.9956,0.7077,0.9026,0.9281,0.9559,0.9418
16,0.0110,0.9964,0.7874,0.9010,0.9245,0.9581,0.9410
17,0.0098,0.9967,0.8275,0.9044,0.9412,0.9430,0.9421
18,0.0090,0.9969,0.9548,0.9039,0.9287,0.9569,0.9426
19,0.0078,0.9974,0.9017,0.9036,0.9287,0.9565,0.9424
20,0.0070,0.9976,1.0557,0.9036,0.9233,0.9630,0.9427
21,0.0064,0.9978,1.1794,0.9033,0.9325,0.9517,0.9420
22,0.0054,0.9981,1.2040,0.9018,0.9241,0.9596,0.9415
23,0.0048,0.9984,1.3179,0.9044,0.9280,0.9584,0.9430
24,0.0046,0.9984,1.1650,0.9006,0.9268,0.9548,0.9406
25,0.0038,0.9987,1.4180,0.9043,0.9317,0.9539,0.9427
26,0.0036,0.9988,1.7217,0.9019,0.9223,0.9621,0.9418
27,0.0034,0.9989,1.4153,0.9046,0.9264,0.9605,0.9432
28,0.0029,0.9990,1.2276,0.9051,0.9284,0.9589,0.9434
