Iter, Loss per batch
1,0.6749
2,0.6071
3,0.3949
4,0.4119
5,0.5144
6,0.4992
7,0.5104
8,0.3662
9,0.5119
10,0.5160
11,0.4441
12,0.4221
13,0.6084
14,0.3877
15,0.5933
16,0.3954
17,0.5216
18,0.5137
19,0.3027
20,0.4661
21,0.3786
22,0.3466
23,0.5502
24,0.5121
25,0.6385
26,0.4215
27,0.5069
28,0.6274
29,0.3536
30,0.3770
31,0.5087
32,0.4813
33,0.4420
34,0.3974
35,0.4596
36,0.3778
37,0.3225
38,0.5497
39,0.4075
40,0.4220
41,0.3822
42,0.6156
43,0.4209
44,0.4153
45,0.4982
46,0.4854
47,0.4404
48,0.3604
49,0.3741
50,0.4214
51,0.3667
52,0.4748
53,0.2274
54,0.4384
55,0.3179
56,0.6914
57,0.3744
58,0.2771
59,0.3300
60,0.2360
61,0.3619
62,0.4587
63,0.4043
64,0.5944
65,0.3726
66,0.3472
67,0.3404
68,0.3619
69,0.3916
70,0.3024
71,0.4292
72,0.3419
73,0.4158
74,0.4937
75,0.5132
76,0.3491
77,0.3797
78,0.2990
79,0.4261
80,0.4036
81,0.3659
82,0.3116
83,0.4121
84,0.4777
85,0.3522
86,0.4353
87,0.4313
88,0.4043
89,0.4887
90,0.3748
91,0.4983
92,0.3715
93,0.3790
94,0.3316
95,0.3575
96,0.3793
97,0.3989
98,0.3808
99,0.4132
100,0.2864
101,0.3550
102,0.5119
103,0.3287
104,0.3971
105,0.4238
106,0.4879
107,0.5303
108,0.3950
109,0.3390
110,0.3294
111,0.4631
112,0.4038
113,0.3576
114,0.2962
115,0.2959
116,0.4092
117,0.5722
118,0.3248
119,0.2285
120,0.5456
121,0.3588
122,0.1884
123,0.5828
124,0.4862
125,0.2892
126,0.4480
127,0.3455
128,0.2151
129,0.4250
130,0.3705
131,0.3739
132,0.3579
133,0.3875
134,0.2664
135,0.3901
136,0.3402
137,0.2659
138,0.3208
139,0.4167
140,0.3108
141,0.4683
142,0.3244
143,0.5682
144,0.2566
145,0.2998
146,0.3014
147,0.3868
148,0.3543
149,0.3406
150,0.4595
151,0.4460
152,0.4351
153,0.3235
154,0.3498
155,0.4099
156,0.2705
157,0.4320
158,0.4512
159,0.3427
160,0.4004
161,0.4119
162,0.5199
163,0.3053
164,0.3764
165,0.3118
166,0.3777
167,0.4691
168,0.2922
169,0.3844
170,0.2180
171,0.3749
172,0.3988
173,0.3859
174,0.2816
175,0.4412
176,0.3405
177,0.3197
178,0.3071
179,0.3167
180,0.4712
181,0.4084
182,0.5067
183,0.4201
184,0.3566
185,0.2637
186,0.3816
187,0.5054
188,0.3531
189,0.3642
190,0.3150
191,0.4657
192,0.3506
193,0.2863
194,0.3188
195,0.2818
196,0.3315
197,0.4957
198,0.5389
199,0.2059
200,0.3557
201,0.4185
202,0.4064
203,0.2827
204,0.3386
205,0.3578
206,0.2794
207,0.3820
208,0.2865
209,0.3628
210,0.4400
211,0.4585
212,0.2662
