Iter, Loss per batch
1,0.6558
2,0.5451
3,0.4491
4,0.4498
5,0.4743
6,0.6140
7,0.4952
8,0.3858
9,0.2574
10,0.2177
11,0.6957
12,0.8409
13,0.3763
14,0.3906
15,0.6748
16,0.4943
17,0.2759
18,0.4497
19,0.4142
20,0.3674
21,0.4434
22,0.5190
23,0.3106
24,0.2891
25,0.3885
26,0.5968
27,0.4722
28,0.7103
29,0.5074
30,0.3453
31,0.5635
32,0.3954
33,0.3185
34,0.3875
35,0.2943
36,0.3804
37,0.3769
38,0.6909
39,0.5554
40,0.3691
41,0.6773
42,0.6397
43,0.5388
44,0.2771
45,0.3993
46,0.4607
47,0.5595
48,0.4498
49,0.4858
50,0.3299
51,0.3885
52,0.3981
53,0.5206
54,0.3250
55,0.4165
56,0.2811
57,0.3302
58,0.3196
59,0.5435
60,0.3020
61,0.7326
62,0.3244
63,0.4755
64,0.5568
65,0.3625
66,0.2314
67,0.3399
68,0.2108
69,0.3144
70,0.2248
71,0.4173
72,0.2206
73,0.7333
74,0.1827
75,0.3487
76,0.5176
77,0.4514
78,0.9001
79,0.3648
80,0.5048
81,0.2725
82,0.3198
83,0.5931
84,0.4827
85,0.6013
86,0.4699
87,0.3313
88,0.3050
89,0.5191
90,0.2852
91,0.5111
92,0.3943
93,0.3934
94,0.3113
95,0.3069
96,0.3544
97,0.7293
98,0.4764
99,0.2958
100,0.3933
101,0.5420
102,0.4494
103,0.3626
104,0.2532
105,0.3801
106,0.7569
107,0.1870
108,0.5073
109,0.3351
110,0.4287
111,0.5202
112,0.3600
113,0.6487
114,0.4166
115,0.3232
116,0.3434
117,0.5170
118,0.2813
119,0.5068
120,0.3322
121,0.3678
122,0.6764
123,0.3220
124,0.3406
125,0.2307
126,0.2931
127,0.2270
128,0.4129
129,0.3743
130,0.3460
131,0.2296
132,0.5318
133,0.2986
134,0.5338
135,0.2383
136,0.5614
137,0.3781
138,0.7468
139,0.3401
140,0.2125
141,0.3451
142,0.4832
143,0.2996
144,0.3128
145,0.2703
146,0.3817
147,0.4756
148,0.4604
149,0.4291
150,0.4581
151,0.3015
152,0.3731
153,0.4345
154,0.3595
155,0.6324
156,0.2508
157,0.3941
158,0.3375
159,0.2920
160,0.5808
161,0.5577
162,0.4423
163,0.3270
164,0.3149
165,0.2483
166,0.3400
167,0.2750
168,0.4794
169,0.3013
170,0.4029
171,0.5072
172,0.3463
173,0.4511
174,0.2402
175,0.2267
176,0.2692
177,0.4588
178,0.2982
179,0.3806
180,0.6651
181,0.2664
182,0.3627
183,0.3728
184,0.2871
185,0.4204
186,0.2097
187,0.2779
188,0.3006
189,0.2543
190,0.4254
191,0.6304
192,0.1719
193,0.2599
194,0.4592
195,0.3603
196,0.2310
197,0.2228
198,0.5696
199,0.2682
200,0.5117
201,0.2090
202,0.2781
203,0.3156
204,0.4436
205,0.3864
206,0.3340
207,0.3452
208,0.1760
209,0.7250
210,0.3515
211,0.2731
212,0.3873
213,0.2725
214,0.2772
215,0.4456
216,0.3088
217,0.3161
218,0.3950
219,0.2093
220,0.3156
221,0.4073
222,0.4877
223,0.3984
224,0.3259
225,0.2982
226,0.5189
227,0.3288
228,0.4900
229,0.2551
230,0.3315
231,0.4842
232,0.2681
233,0.4349
234,0.3347
235,0.4543
236,0.3199
237,0.3932
238,0.6687
239,0.6016
240,0.4251
241,0.2428
242,0.4295
243,0.4752
244,0.2581
245,0.4717
246,0.3706
247,0.1721
248,0.3083
249,0.3381
250,0.4231
251,0.3247
252,0.3333
253,0.4005
254,0.3369
255,0.3460
256,0.3199
257,0.4818
258,0.3739
259,0.4026
260,0.1951
261,0.3181
262,0.3720
263,0.4875
264,0.3037
265,0.4440
266,0.2405
267,0.5305
268,0.2864
269,0.5604
270,0.3377
271,0.1873
272,0.4482
273,0.3672
274,0.5277
275,0.3267
276,0.2422
