Iter, Loss per batch
1,0.6005
2,1.5875
3,0.8724
4,2.6276
5,0.4794
6,0.5991
7,0.2960
8,0.4171
9,0.4462
10,0.4184
11,0.4954
12,0.7128
13,0.4193
14,0.5184
15,0.4476
16,0.5130
17,0.2755
18,0.4195
19,0.7509
20,0.4886
21,0.3433
22,0.4257
23,0.4359
24,0.3049
25,0.2352
26,0.5897
27,0.1414
28,0.4336
29,0.4545
30,0.5626
31,0.5909
32,0.4461
33,0.3803
34,0.5578
35,0.2499
36,0.3846
37,0.5680
38,0.4808
39,0.5025
40,0.4355
41,0.3939
42,0.4696
43,0.4439
44,0.4887
45,0.4789
46,0.3892
47,0.2999
48,0.3183
49,0.3193
50,0.1987
51,0.3719
52,0.2995
53,0.6265
54,0.4435
55,0.4332
56,0.2147
57,0.4365
58,0.4737
59,0.5681
60,0.2521
61,0.4125
62,0.3227
63,0.3719
64,0.3987
65,0.2741
66,0.4793
67,0.6153
68,0.4215
69,0.6145
70,0.4221
71,0.3588
72,0.3853
73,0.3264
74,0.3132
75,0.4014
76,0.6384
77,0.4690
78,0.4492
79,0.3736
80,0.5222
81,0.5473
82,0.3817
83,0.5615
84,0.4003
85,0.3554
86,0.3183
87,0.5279
88,0.4486
89,0.3920
90,0.3257
91,0.2548
92,0.3908
93,0.2752
94,0.3648
95,0.4555
96,0.3909
97,0.1608
98,0.1554
99,0.5830
100,0.3834
101,0.6194
102,0.3298
103,0.4502
104,0.1946
105,0.3457
106,0.7624
107,0.8557
108,0.4213
109,0.4499
110,0.4974
111,0.3643
112,0.3559
113,0.2491
114,0.6553
115,0.5088
116,0.4196
117,0.6910
118,0.5917
119,0.5930
120,0.4243
121,0.5347
122,0.6649
123,0.4549
124,0.3799
125,0.4040
126,0.4771
127,0.3051
128,0.3445
129,0.4017
130,0.5279
131,0.3766
132,0.4254
133,0.3809
134,0.3446
135,0.4841
136,0.5332
137,0.4951
138,0.2930
139,0.3832
140,0.2349
141,0.3014
142,0.1592
143,0.3124
144,0.7618
145,0.3512
146,0.4883
147,0.4894
148,0.3765
149,0.3043
150,0.6929
151,0.5161
152,0.1473
153,0.5991
154,0.2206
155,0.1471
