Iter, Loss per batch
1,0.6948
2,2.5231
3,0.6504
4,2.5834
5,0.4855
6,0.5622
7,0.5882
8,0.5836
9,0.2906
10,0.4775
11,0.6898
12,0.7092
13,0.4097
14,0.5617
15,0.5217
16,0.4359
17,0.5481
18,0.2432
19,0.4104
20,0.3798
21,0.5009
22,0.5249
23,0.4626
24,0.4758
25,0.3757
26,0.3579
27,0.4919
28,0.5288
29,0.4866
30,0.4243
31,0.7431
32,0.4973
33,0.4567
34,0.4348
35,0.6248
36,0.2811
37,0.3449
38,0.5003
39,0.5114
40,0.4824
41,0.4466
42,0.4212
43,0.2657
44,0.3143
45,0.5953
46,0.4829
47,0.4021
48,0.3500
49,0.3931
50,0.4136
51,0.3120
52,0.3221
53,0.6378
54,0.5386
55,0.4519
56,0.4468
57,0.4875
58,0.3913
59,0.3634
60,0.4067
61,0.5012
62,0.5149
63,0.2939
64,0.3499
65,0.2530
66,0.2956
67,0.2795
68,0.6163
69,0.3413
70,0.3521
71,0.4094
72,0.4681
73,0.4961
74,0.4914
75,0.3709
76,0.3904
77,0.5865
78,0.5598
79,0.5152
80,0.4462
81,0.5217
82,0.5096
83,0.4522
84,0.3953
85,0.2749
86,0.6238
87,0.4355
88,0.3703
89,0.5245
90,0.4071
91,0.4790
92,0.3761
93,0.6070
94,0.3878
95,0.7180
96,0.3867
97,0.4316
98,0.4722
99,0.3837
100,0.4062
101,0.4000
102,0.4178
103,0.5771
104,0.5108
105,0.4739
106,0.4673
107,0.4070
108,0.6319
109,0.4953
110,0.4039
111,0.3105
112,0.3195
113,0.3286
114,0.3235
115,0.6775
116,0.2880
117,0.3679
118,0.3853
119,0.5642
120,0.4104
121,0.4112
122,0.4153
123,0.5105
124,0.6451
125,0.4679
126,0.4632
127,0.4186
128,0.3342
129,0.5233
130,0.4216
131,0.4728
132,0.5839
133,0.4520
134,0.3644
135,0.5060
136,0.4695
137,0.4162
138,0.3703
139,0.3231
140,0.6463
141,0.3693
142,0.3146
