Iter, Loss per batch
1,0.6841
2,1.7961
3,4.5307
4,0.3121
5,0.3956
6,0.5699
7,0.5804
8,0.5536
9,0.3504
10,0.4575
11,0.3530
12,0.3678
13,0.3459
14,0.2793
15,0.5281
16,0.4797
17,0.4120
18,0.2639
19,0.5404
20,0.4751
21,0.3422
22,0.4423
23,0.4204
24,0.3306
25,0.2287
26,0.3994
27,0.6472
28,0.2789
29,0.4495
30,0.3943
31,0.3931
32,0.3935
33,0.3937
34,0.4625
35,0.5546
36,0.3532
37,0.3210
38,0.4439
39,0.3877
40,0.4274
41,0.4136
42,0.3545
43,0.3159
44,0.4206
45,0.3804
46,0.3514
47,0.2288
48,0.3450
49,0.1533
50,0.4845
51,0.3642
52,0.3371
53,0.4248
54,0.4831
55,0.4761
56,0.3671
57,0.3404
58,0.4506
59,0.6501
60,0.5028
61,0.5273
62,0.5232
63,0.4752
64,0.3118
65,0.4044
66,0.4472
67,0.3217
68,0.5828
69,0.3867
70,0.3001
71,0.2924
72,0.3940
73,0.3943
74,0.4054
75,0.4053
76,0.2652
77,0.4006
78,0.1881
79,0.4451
80,0.2652
81,0.4034
82,0.4292
83,0.2991
84,0.2864
85,0.4444
86,0.4088
87,0.4107
88,0.3923
89,0.3092
90,0.3681
91,0.4137
92,0.3560
93,0.4368
94,0.3357
95,0.2947
96,0.4289
97,0.3314
98,0.3876
99,0.4564
100,0.3550
101,0.3855
102,0.4577
103,0.3580
104,0.4140
105,0.3372
106,0.4319
107,0.4593
108,0.3979
109,0.3191
110,0.4567
111,0.4050
112,0.2545
113,0.4173
114,0.3729
115,0.2986
116,0.3396
117,0.3321
118,0.3938
119,0.2083
120,0.5971
121,0.3887
122,0.2235
123,0.3952
124,0.4868
125,0.3753
126,0.3283
127,0.2765
128,0.4657
129,0.4800
130,0.2650
131,0.3041
132,0.3874
133,0.3598
134,0.2720
135,0.3928
136,0.3665
137,0.2207
138,0.2844
139,0.4626
140,0.3131
141,0.4028
142,0.4030
143,0.3598
144,0.3191
145,0.3872
