Epoch, Train loss, Train accuracy, Validation loss, Validation mean accuracy, Validation precision, Validation recall, Validation F1-Score
1,0.4180,0.8026,0.5359,0.7854,0.7854,0.8999,0.8323,0.8648
2,0.3319,0.8502,0.5449,0.7911,0.7911,0.9123,0.8260,0.8670
3,0.3404,0.8457,0.5144,0.7884,0.7884,0.9009,0.8353,0.8668
4,0.2928,0.8693,0.5394,0.7901,0.7901,0.9054,0.8324,0.8673
5,0.2587,0.8864,0.4980,0.8265,0.8264,0.8889,0.9022,0.8955
6,0.2321,0.8992,0.5381,0.8001,0.8001,0.9031,0.8486,0.8750
7,0.2211,0.9046,0.5258,0.8058,0.8058,0.8992,0.8609,0.8796
8,0.2346,0.8983,0.5456,0.8148,0.8148,0.8931,0.8808,0.8869
9,0.2191,0.9050,0.4673,0.8122,0.8122,0.9021,0.8663,0.8838
10,0.2054,0.9116,0.5564,0.8223,0.8223,0.8910,0.8937,0.8924
11,0.1931,0.9167,0.5703,0.8197,0.8196,0.8932,0.8873,0.8903
12,0.1878,0.9198,0.5422,0.8125,0.8125,0.9006,0.8685,0.8842
13,0.1754,0.9250,0.6991,0.8252,0.8252,0.8885,0.9010,0.8947
14,0.1679,0.9286,0.5565,0.8276,0.8276,0.8905,0.9018,0.8961
