Iter, Loss per batch
1,0.7117
2,2.0442
3,3.0102
4,1.4556
5,1.8451
6,0.8157
7,1.1399
8,0.6916
9,0.7152
10,0.7085
11,0.6966
12,0.6839
13,0.8404
14,0.7004
15,0.7093
16,0.6668
17,0.6879
18,0.6823
19,0.7165
20,0.6674
21,0.7382
22,0.7049
23,0.6959
24,0.7168
25,0.7151
26,0.7378
27,0.6678
28,0.7165
29,0.6618
30,0.6618
31,0.7004
32,0.6501
33,0.7293
34,0.6355
35,0.7034
36,0.6164
37,0.6846
38,0.6880
39,0.6604
40,0.6404
41,0.6222
42,0.6280
43,0.7247
44,0.7078
45,0.7167
46,0.5928
47,0.9558
48,0.7018
49,0.9567
50,0.8811
51,0.6084
52,0.7261
53,0.9382
54,0.6953
55,0.6499
56,0.8627
57,0.6777
58,0.6445
59,0.6231
60,0.7160
61,0.6864
62,0.5631
63,0.6488
64,0.7362
65,0.6599
66,0.6511
67,0.6505
68,0.6706
69,0.6320
70,0.6758
71,0.6050
72,0.6221
73,0.6164
74,0.7236
75,0.5716
76,0.6336
77,0.6205
78,0.6329
79,0.6259
80,0.6461
81,0.5566
82,0.7149
83,0.6868
84,0.6647
85,0.6547
86,0.6936
87,0.6032
88,0.6549
89,0.6782
90,0.5809
91,0.7165
92,0.6655
93,0.6510
94,0.6440
95,0.6538
96,0.5963
97,0.6693
98,0.6710
99,0.5722
100,0.5683
101,0.5255
102,0.6165
103,0.6329
104,0.6456
105,0.6525
106,0.6006
107,0.6185
108,0.6136
109,0.6161
110,0.6206
111,0.5774
112,0.5856
113,0.5338
114,0.5705
115,0.7516
116,0.7116
117,0.5968
118,0.6280
119,0.6076
120,0.6405
121,0.6340
122,0.5780
123,0.5932
124,0.6029
125,0.6436
126,0.5794
127,0.6195
128,0.6587
129,0.6335
130,0.5598
131,0.6570
132,0.6554
133,0.5364
134,0.7689
135,0.6408
136,0.6116
137,0.5799
138,0.6562
139,0.6995
140,0.5851
141,0.6459
142,0.6213
143,0.6737
144,0.5924
145,0.6326
146,0.6772
147,0.5805
148,0.6067
149,0.7208
150,0.6156
151,0.5085
152,0.6159
153,0.5769
154,0.7157
155,0.6577
156,0.8503
157,0.6047
158,0.5905
159,0.6230
160,0.5877
161,0.6959
162,0.5352
163,0.6674
164,0.5889
165,0.5640
166,0.5725
167,0.5290
168,0.6768
169,0.6005
170,0.6282
171,0.7131
172,0.5989
173,0.5806
174,0.5837
175,0.6151
176,0.6069
177,0.6186
178,0.5865
179,0.7565
180,0.5896
181,0.5968
182,0.6065
183,0.6808
184,0.6765
185,0.6360
186,0.5951
187,0.6289
188,0.6920
189,0.5479
190,0.5806
191,0.6006
192,0.6413
193,0.5140
194,0.6462
195,0.5626
196,0.6275
197,0.6006
198,0.7451
199,0.5946
200,0.6548
201,0.6306
202,0.5479
203,0.5111
204,0.5955
205,0.7931
206,0.5491
207,0.5328
208,0.6983
209,0.9716
210,0.6392
211,0.6242
212,0.7043
213,0.7174
214,0.7154
215,0.5755
216,0.6696
217,0.6693
218,0.6163
219,0.5238
220,0.6194
221,0.7223
222,0.5736
223,0.5137
224,0.5478
225,0.5604
226,0.5229
227,0.5439
228,0.6339
229,0.4974
230,0.5464
231,0.5726
232,0.6550
233,0.6393
234,0.5907
235,0.5258
236,0.5343
237,0.6448
238,0.5977
239,0.5159
240,0.7075
241,0.6063
242,0.5939
243,0.6604
244,0.6818
245,0.5850
246,0.6116
247,0.5767
248,0.5457
249,0.5937
250,0.4793
251,0.6144
252,0.5817
253,0.6130
254,0.5502
255,0.5756
256,0.8476
257,0.5257
258,0.5864
259,0.4589
260,0.7558
261,0.5890
262,0.5084
263,0.6027
264,0.6277
265,0.5917
266,0.5837
267,0.6307
268,0.5160
269,0.5585
270,0.5548
271,0.6186
272,0.6717
273,0.5999
274,0.6467
275,0.6529
276,0.5913
277,0.5704
278,0.5837
279,0.5336
280,0.4847
281,0.5769
282,0.5381
283,0.4400
284,0.7501
285,0.6220
286,0.5438
287,0.6009
288,0.5710
289,0.5764
290,0.5476
291,0.5651
292,0.5347
293,0.5722
294,0.6602
295,0.6083
296,0.5888
297,0.4758
298,0.5054
299,0.4679
300,0.5753
301,0.6069
302,0.6233
303,0.5847
304,0.5902
305,0.6624
306,0.6102
307,0.5755
308,0.5782
309,0.6197
310,0.6375
311,0.5908
312,0.6099
313,0.5920
314,0.5876
315,0.5844
316,0.6026
317,0.5671
318,0.5351
319,0.5994
320,0.5919
321,0.7581
322,0.5241
323,0.5176
324,0.5121
325,0.5345
326,0.5410
327,0.5484
328,0.6339
329,0.4232
330,0.5105
331,0.5769
332,0.6555
333,0.6550
334,0.5088
335,0.5005
336,0.5328
337,0.5616
338,0.6055
339,0.5575
340,0.5206
341,0.5819
342,0.4871
343,0.5367
344,0.5121
345,0.4964
346,0.6673
347,0.4455
348,0.6200
349,0.6406
350,0.5482
351,0.5812
352,0.5704
353,0.5453
354,0.5675
355,0.5448
356,0.5082
357,0.4755
358,0.4246
359,0.5370
360,0.5940
361,0.7144
362,0.5137
363,0.5710
364,0.4984
365,0.5383
366,0.5177
367,0.5966
368,0.6318
369,0.5799
370,0.5405
371,0.6225
372,0.5922
373,0.5564
374,0.5392
375,0.4574
376,0.5275
377,0.6815
378,0.5368
379,0.5356
380,0.5500
381,0.5153
382,0.5216
383,0.5848
384,0.5915
385,0.5324
386,0.5484
387,0.5694
388,0.5157
389,0.5411
390,0.4737
391,0.6264
392,0.4679
393,0.4513
394,0.5290
395,0.6714
396,0.5540
397,0.6149
398,0.5080
399,0.6333
400,0.5725
401,0.6421
402,0.4929
403,0.5092
404,0.7702
405,0.7512
406,0.4807
407,0.5546
408,0.5677
409,0.6324
410,0.6306
411,0.5278
412,0.4421
413,0.5089
414,0.5770
415,0.4917
416,0.6447
417,0.5476
418,0.5171
419,0.5693
420,0.5304
421,0.5290
422,0.5261
423,0.6328
424,0.5437
425,0.5245
426,0.4412
427,0.5323
428,0.5964
429,0.5527
430,0.4949
431,0.5079
432,0.5894
433,0.4165
434,0.6315
435,0.6921
436,0.6143
437,0.5193
438,0.6059
439,0.5908
440,0.5941
441,0.5502
442,0.5706
443,0.6060
444,0.4872
445,0.4691
446,0.4874
447,0.6101
448,0.4902
449,0.6847
450,0.5584
451,0.5568
452,0.5149
453,0.5022
454,0.5092
455,0.5530
456,0.5708
457,0.5827
458,0.5500
459,0.4496
460,0.5471
461,0.5314
462,0.4824
463,0.4692
464,0.5599
465,0.4404
466,0.4886
467,0.5446
468,0.7677
469,0.6033
470,0.6052
471,0.4934
472,0.5952
473,0.4993
474,0.5407
475,0.6174
476,0.5455
477,0.6292
478,0.4981
479,0.5098
480,0.5339
481,0.6728
482,0.5288
483,0.4419
484,0.4546
485,0.5468
486,0.4810
487,0.5703
488,0.4759
489,0.4777
490,0.6331
491,0.4755
492,0.5401
493,0.4288
494,0.5723
495,0.5912
496,0.5863
497,0.5041
498,0.5094
499,0.5397
500,0.4739
501,0.4765
502,0.6442
503,0.4554
504,0.5566
505,0.5632
506,0.4680
507,0.5698
508,0.5120
509,0.4844
510,0.5794
511,0.5472
512,0.4620
513,0.5830
514,0.5709
515,0.4484
516,0.6497
517,0.5617
518,0.5406
519,0.5938
520,0.5689
521,0.5169
522,0.4823
523,0.4770
524,0.4719
525,0.5108
526,0.4164
527,0.6306
528,0.5884
529,0.4363
530,0.5862
531,0.5531
532,0.5700
533,0.5123
534,0.5274
535,0.5927
536,0.5231
537,0.5279
538,0.4445
539,0.5680
540,0.4900
541,0.4377
542,0.6350
543,0.5934
544,0.4295
545,0.5205
546,0.5323
547,0.4827
548,0.4792
549,0.4501
550,0.5777
551,0.6625
552,0.5345
553,0.5357
554,0.5686
555,0.6522
556,0.4824
557,0.5427
558,0.5220
559,0.5377
560,0.4303
561,0.6024
562,0.5285
563,0.5041
564,0.5129
565,0.5243
566,0.5131
567,0.4968
568,0.4680
569,0.6155
570,0.4940
571,0.5351
572,0.6438
573,0.4821
574,0.4558
575,0.5135
576,0.4341
577,0.5913
578,0.4682
579,0.4251
580,0.5000
581,0.5801
582,0.5767
583,0.5952
584,0.4630
585,0.4918
586,0.5964
587,0.5310
588,0.6199
589,0.5246
590,0.6277
591,0.4796
592,0.4788
593,0.5943
594,0.5559
595,0.5215
596,0.4179
597,0.5971
598,0.4201
599,0.5077
600,0.6500
601,0.6548
602,0.5135
603,0.5240
604,0.4852
605,0.4282
606,0.4753
607,0.5002
608,0.5348
609,0.4581
610,0.4090
611,0.5925
612,0.5295
613,0.6955
614,0.6083
615,0.5718
616,0.4671
617,0.6050
618,0.4725
619,0.5936
620,0.5115
621,0.4524
622,0.4934
623,0.4199
624,0.5171
625,0.5326
626,0.5200
