Iter, Loss per batch
1,0.6881
2,0.6022
3,0.7480
4,0.7150
5,0.8098
6,0.9432
7,0.5199
8,0.5288
9,0.4886
10,0.5881
11,0.3889
12,0.3432
13,0.2699
14,0.3683
15,0.3365
16,0.2513
17,0.1611
18,0.1076
19,0.1247
20,0.2437
21,0.2144
22,0.3200
23,0.0350
24,0.0764
25,0.0468
26,0.0173
27,0.0435
28,0.0499
29,0.0998
30,0.0044
31,0.0467
32,0.0576
33,0.2281
34,0.1220
35,0.0323
36,0.0030
37,0.0022
38,0.0007
39,0.0005
40,0.0012
41,0.0018
42,0.0001
43,0.0004
44,0.0939
45,0.4717
46,0.0005
47,0.0098
48,0.0094
49,0.0808
50,0.4070
51,0.0018
52,0.0349
53,0.0089
54,0.0066
55,0.1962
56,0.0093
57,0.0412
58,0.0371
59,0.0153
60,0.0154
61,0.1587
62,0.0733
63,0.0266
64,0.2683
65,0.0355
66,0.0092
67,0.0307
68,0.0099
69,0.0467
70,0.0052
71,0.0341
72,0.0974
73,0.0109
74,0.1220
75,0.0009
76,0.0817
77,0.0239
78,0.1089
79,0.1473
80,0.0083
81,0.0020
82,0.0326
83,0.0494
84,0.0004
85,0.0136
86,0.0215
87,0.0496
88,0.0118
89,0.0561
90,0.0119
91,0.0179
92,0.0021
93,0.0136
94,0.0622
95,0.0135
96,0.0219
97,0.0701
98,0.0013
99,0.0034
100,0.0644
101,0.0482
102,0.0257
103,0.0003
104,0.0109
105,0.0009
106,0.0919
107,0.0383
108,0.0291
109,0.0015
110,0.0445
111,0.0131
112,0.0071
113,0.0453
114,0.0003
115,0.2390
116,0.0035
117,0.0358
118,0.0032
119,0.0808
120,0.0265
121,0.0100
122,0.0204
123,0.0045
124,0.0534
125,0.0590
126,0.0056
127,0.0070
128,0.0047
129,0.0135
130,0.0674
131,0.0178
132,0.0187
133,0.0600
134,0.0071
135,0.0854
136,0.0190
137,0.1881
138,0.0507
139,0.0001
140,0.0165
141,0.0332
142,0.0114
143,0.0147
144,0.0005
145,0.0424
146,0.2057
147,0.0107
148,0.0658
149,0.0034
150,0.0469
151,0.0337
152,0.0229
153,0.1213
154,0.0137
155,0.0381
156,0.0047
157,0.0444
158,0.0265
159,0.0202
160,0.0013
161,0.0033
162,0.0086
163,0.0192
164,0.0071
165,0.0016
166,0.0047
167,0.0005
168,0.0017
169,0.1837
170,0.0002
171,0.0102
172,0.0960
173,0.0036
174,0.2180
175,0.0008
176,0.0032
177,0.0050
178,0.1037
179,0.0020
180,0.0422
181,0.0006
182,0.0022
183,0.0077
184,0.0115
185,0.0482
186,0.0314
187,0.0710
188,0.0405
189,0.0007
190,0.0718
191,0.0293
192,0.0344
193,0.0177
194,0.0263
195,0.0298
196,0.0256
197,0.0012
198,0.0443
199,0.0204
200,0.0542
201,0.0003
202,0.0000
203,0.0026
204,0.0239
205,0.0004
206,0.0474
207,0.0139
208,0.0223
209,0.0013
210,0.0893
211,0.0000
212,0.0002
213,0.0001
214,0.0101
215,0.0000
216,0.0001
217,0.0001
218,0.0112
219,0.0418
220,0.0020
221,0.0125
222,0.0000
223,0.0016
224,0.0001
225,0.0718
226,0.0015
227,0.0000
228,0.0001
229,0.0000
230,0.0000
231,0.0000
232,0.1188
233,0.0048
234,0.0048
235,0.0135
236,0.0002
237,0.0004
238,0.0000
239,0.0000
240,0.0021
241,0.0754
242,0.0101
243,0.0001
244,0.0791
245,0.0003
246,0.0783
247,0.0002
248,0.0006
249,0.0275
250,0.0022
251,0.0544
252,0.0681
253,0.0011
254,0.0252
255,0.0850
256,0.0002
257,0.0204
258,0.0002
259,0.0887
260,0.0027
261,0.0339
262,0.0025
263,0.0056
264,0.0085
265,0.0170
266,0.0427
267,0.0004
268,0.0152
269,0.0015
270,0.0114
271,0.0173
272,0.0005
273,0.0004
274,0.0000
275,0.0006
276,0.0242
277,0.0173
278,0.0321
279,0.0018
280,0.0002
281,0.0192
282,0.0048
283,0.0115
284,0.0006
285,0.0001
286,0.0097
287,0.0335
288,0.0048
289,0.0136
290,0.0229
291,0.0000
292,0.0000
293,0.0001
294,0.0000
295,0.0190
296,0.0291
297,0.0134
298,0.0000
299,0.0000
300,0.0245
301,0.0177
302,0.0001
303,0.0119
304,0.0667
305,0.0094
306,0.0000
307,0.0599
308,0.0645
309,0.0000
310,0.0000
311,0.0000
312,0.0003
313,0.0022
314,0.0006
315,0.0017
316,0.0123
317,0.1169
318,0.0327
319,0.0000
320,0.0003
321,0.0573
322,0.0035
323,0.0129
324,0.0126
325,0.0000
326,0.0001
327,0.0002
328,0.0733
329,0.0081
330,0.0005
331,0.0322
332,0.0012
333,0.0628
334,0.0014
335,0.0049
336,3.2908
337,0.0023
338,0.0147
339,0.0609
340,0.0343
341,0.0406
342,0.0313
343,0.0499
344,0.0308
345,0.1219
346,0.0049
347,0.0060
348,0.0032
349,0.0156
350,0.0001
351,0.0065
352,0.0177
353,0.0038
354,0.0375
355,0.0390
356,0.0000
357,0.0058
358,0.0429
359,0.0001
360,0.0063
361,0.0260
362,0.0160
363,0.0177
364,0.0602
365,0.0004
366,0.0071
367,0.0683
368,0.0000
369,0.0003
370,0.0000
371,0.0049
372,0.0016
373,0.0057
374,0.0003
375,0.0913
376,0.0057
377,0.0004
378,0.0645
379,0.0030
380,0.1083
381,0.0030
382,0.0000
383,0.0659
384,0.0002
385,0.0006
386,0.0210
387,0.0278
388,0.0002
389,0.0392
390,0.0061
391,0.0338
392,0.0016
393,0.0027
394,0.0104
395,0.0042
396,0.0004
397,0.0216
398,0.0002
399,0.0323
400,0.0243
401,0.0038
402,0.0029
403,0.0000
404,0.0004
405,0.0002
406,0.0000
407,0.0000
408,0.0085
409,0.0000
410,0.0001
411,0.0000
412,0.0005
413,3.1288
414,0.0000
415,0.0091
416,0.0004
417,3.1254
418,0.0000
419,0.1063
420,0.0433
421,0.0517
422,0.0000
423,0.0001
424,0.0072
425,0.0001
426,0.1785
427,0.0000
428,0.0829
429,0.0000
430,0.0000
431,0.0223
432,0.0326
433,0.0000
434,0.0262
435,0.0261
436,0.0070
437,0.0204
438,0.2679
439,0.0309
440,0.0208
441,0.0001
442,0.0024
443,0.0000
444,0.0015
445,0.0000
446,0.0006
447,0.0001
448,0.0668
449,0.0118
450,0.0002
451,0.0040
452,0.0002
453,0.0008
454,0.0070
455,0.0371
456,0.0035
457,0.0353
458,0.0019
459,0.0485
460,0.0001
461,0.0006
462,0.0416
463,0.0001
464,0.0001
465,0.0000
466,0.0001
467,0.2442
468,0.0001
469,0.0126
470,0.0760
471,0.0006
472,0.0004
473,0.0277
474,0.0008
475,0.1682
476,0.0001
477,0.0460
478,0.0226
479,0.0557
480,0.0085
481,0.0027
482,0.0553
483,0.0275
484,0.0246
485,0.0174
486,0.0309
487,0.0527
488,0.0035
489,0.1033
490,0.0234
491,0.0141
492,0.0332
493,0.0006
494,0.0322
495,0.0001
496,0.0001
497,0.0493
498,0.0171
499,0.0002
500,0.0171
501,0.0418
502,0.0016
503,0.0000
504,0.0000
505,0.0000
506,0.0000
507,0.0453
508,0.0001
509,0.0018
510,0.0000
511,0.0002
512,0.0336
513,0.0695
514,0.0000
515,0.0116
516,0.0074
517,0.0129
518,0.0816
519,0.0000
520,0.0000
521,0.0110
522,0.0022
523,0.0229
524,0.0001
525,0.0003
526,0.0000
527,0.0106
528,0.0144
529,0.0000
530,0.0027
531,0.0097
532,0.2424
533,0.0018
534,0.0000
535,0.0627
536,0.0125
537,0.0337
538,0.0259
539,0.0357
540,0.0156
541,0.0212
542,0.0016
543,0.0018
544,0.0143
545,0.0376
546,0.0745
547,0.0013
548,0.0335
549,0.0008
550,0.0032
551,0.0001
552,0.0003
553,0.0186
554,0.0178
555,0.0099
556,0.0116
557,0.0000
558,0.0507
559,0.0828
560,0.0460
561,0.0255
562,0.0007
563,0.2742
564,0.0217
565,0.0121
566,0.0001
567,0.0666
568,0.0264
569,0.0392
570,0.0059
571,0.0022
572,0.0016
573,0.0299
574,0.0176
575,0.0444
576,0.0120
577,0.0113
578,0.0024
579,0.0360
580,0.0072
581,0.0012
582,0.0000
583,0.0005
584,0.0010
585,0.0107
586,0.0209
587,0.0276
588,0.0000
589,0.0001
590,0.0000
591,0.0007
592,0.0024
593,0.0000
594,0.0682
595,0.0000
596,0.0000
597,0.0275
598,0.0057
599,0.0586
600,0.0000
601,0.0179
602,0.0000
603,0.0001
604,0.0000
605,0.0552
606,0.0006
607,0.0335
608,0.0000
609,0.0001
610,0.0140
611,0.0000
612,0.0001
613,0.0030
614,0.0000
615,0.0359
616,0.0000
617,0.0070
618,0.0068
619,0.0478
620,0.0000
621,0.0000
622,0.0000
623,0.0110
624,0.0316
625,0.0500
626,0.0000
627,0.0025
628,0.0010
629,0.0000
630,0.0143
631,0.0598
632,0.0511
633,0.0273
634,0.0502
635,0.0022
636,0.2853
637,0.0214
638,0.0075
639,0.0223
640,0.0003
641,0.0002
642,0.0237
643,0.0272
644,0.0095
645,0.0023
646,0.0133
647,0.0204
648,0.0480
649,0.0016
650,0.0154
651,0.0272
652,0.0040
653,0.1783
654,0.0161
655,0.0175
656,0.0035
657,0.0143
658,0.0001
659,0.0104
660,0.0015
661,0.0192
662,0.0169
663,0.0000
664,0.0599
665,0.0198
666,0.0002
667,0.0093
668,0.0000
669,0.0002
670,0.0034
671,0.0021
672,0.0000
673,0.0000
674,0.1421
675,0.0133
676,0.0155
677,0.0000
678,0.0004
679,0.0005
680,0.0847
681,0.0000
682,0.0197
683,0.0000
684,0.0357
685,0.0001
686,0.0000
687,0.0036
688,0.0000
689,0.0313
690,0.0000
691,0.0168
692,0.0000
693,0.0306
694,0.0115
695,0.0000
696,0.0000
697,0.0001
698,0.0119
699,0.0001
700,0.0156
701,0.0094
702,0.0007
703,0.0000
704,0.0000
705,0.0000
706,0.0000
707,0.0158
708,0.0032
709,0.1266
710,0.0286
711,0.0013
712,0.0437
713,0.0091
714,0.0000
715,0.0000
716,0.0122
717,0.0001
718,0.0280
719,0.0206
720,0.0124
721,0.0017
722,0.0257
723,0.0317
724,0.0034
725,0.0004
726,0.0155
727,0.0001
728,0.0196
729,0.0388
730,0.0012
731,0.0406
732,0.0009
733,0.0002
734,0.0023
735,0.0000
736,0.0001
737,0.0001
738,0.0368
739,0.0000
740,0.0235
741,0.0000
742,0.0084
743,0.0000
744,0.0004
745,0.0000
746,0.0002
747,0.0127
748,0.0004
749,0.0103
750,0.0031
