Iter, Loss per batch
1,0.7024
2,3.0274
3,0.9909
4,1.4356
5,0.9085
6,0.8151
7,0.6519
8,0.8793
9,0.6979
10,0.6872
11,0.6847
12,0.6835
13,0.6506
14,0.7758
15,0.6358
16,0.6210
17,0.6636
18,0.5252
19,0.4890
20,0.3104
21,0.2207
22,0.3113
23,0.2331
24,0.3094
25,0.1294
26,0.1470
27,0.0874
28,0.0781
29,0.1003
30,0.0066
31,0.1980
32,0.0221
33,0.1563
34,0.0009
35,0.0622
36,0.0786
37,0.0007
38,0.0224
39,0.0325
40,0.2912
41,0.0036
42,0.0240
43,0.4030
44,0.0326
45,0.0406
46,0.0456
47,0.0172
48,0.0071
49,0.2617
50,0.0270
51,0.0120
52,0.0008
53,0.0007
54,0.0011
55,0.2109
56,0.1934
57,0.2407
58,0.1498
59,0.0012
60,0.0041
61,0.0838
62,0.0360
63,0.0239
64,0.1685
65,0.0454
66,0.0336
67,0.0502
68,0.1637
69,0.0091
70,0.0051
71,0.0116
72,0.0552
73,0.0878
74,0.0084
75,0.6098
76,0.0945
77,0.0302
78,0.0012
79,0.0029
80,0.2254
81,0.1829
82,0.2807
83,0.0178
84,0.0176
85,0.0238
86,0.0142
87,0.0537
88,0.0510
89,0.0225
90,0.0207
91,0.0936
92,0.0778
93,0.0056
94,0.0005
95,0.0008
96,0.0026
97,0.0063
98,0.0001
99,0.0712
100,0.0001
101,0.0009
102,0.0142
103,0.0152
104,0.0015
105,0.0700
106,0.0092
107,0.0331
108,0.0001
109,0.3157
110,0.0507
111,0.0003
112,0.0006
113,0.0009
114,0.0119
115,0.0008
116,0.0016
117,0.2864
118,0.0005
119,0.0141
120,0.0561
121,0.0039
122,0.0039
123,0.0049
124,0.0155
125,0.0011
126,0.0025
127,0.0010
128,0.1622
129,0.0016
130,0.0298
131,0.0023
132,0.0034
133,0.0044
134,0.0832
135,0.0948
136,0.0519
137,0.0106
138,0.0131
139,0.0526
140,0.0522
141,0.0084
142,0.0202
143,0.0695
144,0.0128
145,0.0019
146,0.0154
147,0.0022
148,0.0015
149,0.0213
150,0.0155
151,0.0498
152,0.0021
153,0.0250
154,0.0961
155,0.0768
156,0.0531
157,0.0079
158,0.0079
159,0.0000
160,0.3294
161,0.0000
162,0.0021
163,0.0002
164,0.0151
165,0.0622
166,0.0009
167,0.2532
168,0.0554
169,0.0023
170,0.0397
171,0.0161
172,0.0288
173,0.0303
174,0.0262
175,0.0306
176,0.0602
177,0.0104
178,0.0019
179,0.0561
180,0.0068
181,0.0041
182,0.0045
183,0.0044
184,0.0005
185,0.0003
186,0.0001
187,0.0043
188,0.0005
189,0.0001
190,0.0000
191,0.0008
192,0.0002
193,0.0003
194,0.0001
195,0.0603
196,0.0020
197,0.1475
198,0.0306
199,0.0101
200,0.0042
201,0.0899
202,0.0074
203,0.0002
204,0.0016
205,0.0214
206,0.0215
207,0.1058
208,0.1587
209,0.0610
210,0.0017
211,0.0006
212,0.0006
213,0.0506
214,0.0571
215,0.0143
216,0.0297
217,0.0111
218,0.0011
219,0.0065
220,0.0316
221,0.0191
222,0.0003
223,0.0008
224,0.0006
225,0.0195
226,0.0201
227,0.0015
228,0.0245
229,0.0005
230,0.0001
231,0.0001
232,0.0015
233,0.0000
234,0.0000
235,0.1581
236,0.0001
237,0.0000
238,0.2622
239,0.0708
240,0.0035
241,0.0485
242,0.0059
243,0.0673
244,0.0045
245,0.0480
246,0.0292
247,0.0166
248,0.0051
249,0.0148
250,0.0186
251,0.0228
252,0.0001
253,0.0002
254,0.0000
255,0.0182
256,0.0026
257,0.0002
258,0.1141
259,0.0040
260,0.0000
261,0.0000
262,0.0046
263,0.0833
264,0.0143
265,0.0089
266,0.0236
267,0.0000
268,0.0000
269,0.0001
270,0.0495
271,0.0002
272,0.0008
273,0.0006
274,0.1112
275,0.1103
276,0.0033
277,0.0014
278,0.0002
279,0.1280
280,0.0008
281,0.0463
282,0.0001
283,0.0052
284,0.0000
285,0.0344
286,0.0000
287,0.1983
288,0.0291
289,0.0000
290,0.0000
291,0.0004
292,0.2783
293,0.0038
294,0.0264
295,0.0006
296,0.0598
297,0.0220
298,0.0636
299,0.0515
300,0.0806
301,0.0389
302,0.0215
303,0.0056
304,0.0113
305,0.1451
