Iter, Loss per batch
1,0.7033
2,0.8140
3,3.3988
4,3.5629
5,1.1921
6,0.7541
7,0.8572
8,1.0244
9,0.8146
10,0.8342
11,0.6644
12,0.6946
13,0.6213
14,0.6801
15,0.6695
16,0.6091
17,0.4849
18,0.3110
19,0.2274
20,0.1882
21,0.0551
22,0.2144
23,0.0721
24,0.2996
25,0.1321
26,0.0596
27,0.0004
28,0.2218
29,0.2761
30,0.1253
31,0.5565
32,0.0440
33,0.0033
34,0.0202
35,0.0568
36,0.0205
37,0.1423
38,0.0046
39,0.0024
40,0.0877
41,0.0232
42,0.2231
43,0.2860
44,0.3610
45,0.0720
46,0.1162
47,0.0315
48,0.0170
49,0.0701
50,0.1332
51,0.0567
52,0.0189
53,0.0231
54,0.1509
55,0.0672
56,0.1856
57,0.0024
58,0.0478
59,0.0027
60,0.0039
61,0.1153
62,0.0404
63,0.1593
64,0.1377
65,0.3061
66,0.0246
67,0.0178
68,0.2014
69,0.0161
70,0.0151
71,0.0115
72,0.0867
73,0.1014
74,0.0063
75,0.0725
76,0.0154
77,0.2677
78,0.0138
79,0.0255
80,0.0107
81,0.0120
82,0.1972
83,0.0101
84,0.0104
85,0.0271
86,0.0341
87,0.0553
88,0.0453
89,0.0044
90,0.0013
91,0.0801
92,0.0006
93,0.0002
94,0.0000
95,0.0159
96,0.0000
97,0.0000
98,0.0000
99,0.0006
100,0.0004
101,0.0000
102,0.0000
103,0.1032
104,0.0004
105,0.0919
106,0.0453
107,0.0333
108,0.0000
109,0.0733
110,0.2708
111,0.0000
112,0.0834
113,0.2228
114,0.0013
115,0.0500
116,0.0149
117,0.1230
118,0.0363
119,0.0279
120,0.0069
121,0.0344
122,0.0021
123,0.0011
124,0.0455
125,0.2570
126,0.0001
127,0.0004
128,0.2249
129,0.0003
130,0.0235
131,0.0377
132,0.0015
133,0.0254
134,0.2419
135,0.0011
136,0.1285
137,0.0080
138,0.0045
139,0.1309
140,0.0902
141,0.0036
142,0.0084
143,0.0075
144,0.0046
145,0.0023
146,0.1262
147,0.0037
148,0.0078
149,0.0399
150,0.0944
151,0.0157
152,0.0488
153,0.4921
154,0.0709
155,0.1861
156,0.1665
157,0.2063
158,0.0274
159,0.0191
160,0.0373
161,0.0018
162,0.0424
163,0.1059
164,0.0026
165,0.1108
166,0.0013
167,0.2725
168,0.0063
169,0.0051
170,0.1122
171,0.0549
172,0.0757
173,0.0028
174,0.0114
175,0.0054
176,0.0958
177,0.0190
178,0.0005
179,0.0843
180,0.0287
181,0.0301
182,0.0216
183,0.0026
184,0.0048
185,0.0029
186,0.0003
187,0.0090
188,0.0015
189,0.1529
190,0.0000
191,0.0007
192,0.0002
193,0.0014
194,0.0015
195,0.0019
196,0.0013
197,0.0100
198,0.0919
199,0.0415
200,0.0033
201,0.0173
202,0.0470
203,0.0000
204,0.0237
205,0.0306
206,0.0021
207,0.1118
208,0.3502
209,0.0673
210,0.0023
211,0.0002
212,0.0037
213,0.1567
214,0.2495
215,0.0125
216,0.0273
217,0.0001
218,0.0047
219,0.0002
220,0.1144
221,0.0013
222,0.0041
223,0.0130
224,0.0005
225,0.0085
226,0.0179
227,0.0037
228,0.0031
229,0.0000
230,0.0001
231,0.0001
232,0.0432
233,0.0000
234,0.0000
235,0.0748
236,0.0000
237,0.0070
238,0.4373
239,0.0299
240,0.0068
241,0.0261
242,0.0002
243,0.1956
244,0.0001
245,0.2126
246,0.0212
247,0.0168
248,0.0296
249,0.0179
250,0.0050
251,0.0035
252,0.0006
253,0.0060
254,0.0001
255,0.0771
256,0.0001
257,0.0036
258,0.0838
259,0.0087
260,0.0008
261,0.0007
262,0.0095
263,0.8045
264,0.0071
265,0.0317
266,0.0382
267,0.0524
268,0.0375
269,0.0215
270,0.0090
271,0.0371
272,0.0069
273,0.0258
274,0.0005
275,0.1481
276,0.0001
277,0.0373
278,0.0003
279,0.2359
280,0.0971
281,0.0212
282,0.0028
283,0.0051
284,0.0002
285,0.0729
286,0.1238
287,0.0608
288,0.0474
289,0.0066
290,0.0016
291,0.0025
292,0.0344
293,0.0085
294,0.2115
295,0.0010
296,0.0535
297,0.0149
298,0.0272
