Iter, Loss per batch
1,8.2127
2,4.4643
3,4.6939
4,6.3286
5,8.0998
6,4.1802
7,5.0860
8,8.2395
9,5.0700
10,5.0099
11,6.2482
12,4.2479
13,5.3578
14,1.4774
15,4.4106
16,3.4025
17,2.2240
18,4.6680
19,2.4022
20,2.5740
21,1.3764
22,4.2401
23,1.8309
24,2.6486
25,1.5760
26,2.4615
27,4.3658
28,1.4359
29,2.7634
30,3.5496
31,3.4057
32,1.3966
33,2.2611
34,3.4629
35,1.4905
36,2.2296
37,1.3899
38,3.4103
39,0.3099
40,1.2116
41,2.2392
42,1.2727
43,2.2611
44,2.3765
45,2.1994
46,2.5973
47,2.2609
48,4.2117
49,1.3365
50,0.5398
51,3.1299
52,2.3530
53,0.5345
54,1.1762
55,1.3113
56,3.3113
57,0.3136
58,2.2604
59,1.1832
60,0.0826
61,1.3039
62,0.3356
63,1.0541
64,0.1031
65,0.3659
66,1.0939
67,3.1460
68,1.1330
69,1.4616
70,1.1967
71,1.1668
72,1.1617
73,2.1000
74,0.1522
75,1.1333
76,3.0540
77,0.0146
78,0.0015
79,4.1238
80,1.0188
81,1.1264
82,0.1611
83,1.0523
84,2.0240
85,0.0043
86,0.0406
87,0.0689
88,0.1302
89,0.0113
90,0.0000
91,1.0647
92,0.0149
93,1.1672
94,0.0231
95,1.0075
96,0.0087
97,0.9970
98,0.0000
99,1.0635
100,3.0485
101,0.1245
102,0.0075
103,0.0134
104,2.1104
105,0.0503
106,1.0595
107,0.9964
108,0.9964
109,0.0498
110,0.0820
111,1.0155
112,0.0000
113,1.0074
114,1.0074
115,0.0000
116,0.0037
117,0.0278
118,1.2574
119,0.0451
120,0.0510
121,0.0509
122,1.0074
123,1.0074
124,0.0000
125,0.1182
126,1.0276
127,0.0988
128,2.1455
129,0.0000
130,1.0216
131,1.0074
132,2.0255
133,1.0074
134,0.0023
135,0.0761
136,0.0000
137,0.0295
138,0.1228
139,0.0333
140,1.0074
141,1.0278
142,1.0074
143,0.0000
144,0.0702
145,1.2438
146,0.0000
147,0.9964
148,0.0620
149,1.0640
150,1.0308
151,4.0451
152,0.0000
153,1.0369
154,1.0074
155,0.0000
156,2.0192
157,0.0051
158,0.0000
159,1.0402
160,1.0074
161,1.1634
162,0.0000
163,1.0680
164,1.0074
165,3.0221
166,1.0074
167,1.0074
168,0.0000
169,0.0393
170,1.0074
171,1.0074
172,0.1286
173,0.0265
174,1.0074
175,0.0092
176,1.0074
177,0.0000
178,0.0000
179,1.0745
180,0.0000
181,0.0000
182,2.0798
183,0.0977
184,1.0074
185,0.0000
186,1.0074
187,0.0000
188,2.0148
189,0.3029
190,2.0148
191,1.0074
192,0.0000
193,2.3072
194,2.0148
195,1.0629
196,2.1217
197,7.0403
198,6.2416
199,3.1016
200,3.0112
201,5.2524
202,7.1493
203,5.2091
204,1.1943
205,2.0534
206,1.2381
207,4.0614
208,3.0500
209,0.0746
210,3.0002
211,3.0331
212,2.4755
213,7.0306
214,4.0666
215,1.3136
216,3.1338
217,4.0112
218,2.9892
219,3.1140
220,5.0989
221,1.0024
222,5.9784
223,4.0934
224,3.1137
225,3.3464
226,0.3091
227,3.0142
228,2.2652
229,3.3337
230,3.0871
231,4.0012
232,3.0697
233,5.1959
234,1.0585
235,1.1545
236,4.1675
237,1.1469
238,3.0009
239,2.1644
240,4.1446
241,1.3786
242,2.0578
243,1.2132
244,3.0542
245,2.4674
246,1.0156
247,0.0687
248,1.0074
249,2.2608
250,1.0528
251,2.0906
252,1.0426
253,1.0224
254,2.1204
255,2.1901
256,1.0928
257,0.1363
258,1.0709
259,0.2708
260,0.0382
261,1.0385
262,1.1064
263,2.0879
264,0.2070
265,0.1594
266,1.1263
267,2.0315
268,1.2293
269,2.2651
270,0.0000
271,0.0267
272,2.0259
273,0.0178
274,0.0080
275,2.0269
276,1.1207
277,1.0817
278,1.0830
279,1.0357
280,1.0777
281,2.0165
282,1.0602
283,0.0375
284,2.0038
285,0.0000
286,1.0074
287,2.1850
288,0.0135
289,1.0074
290,0.1057
291,1.0074
292,1.0079
293,0.0749
294,0.0004
295,1.0703
296,0.0290
297,0.3682
298,2.0495
299,0.0000
300,3.4533
301,0.0784
302,3.0269
303,1.0074
304,1.0074
305,1.0179
306,2.0889
307,1.0303
308,5.0369
309,1.3588
310,1.0074
311,2.0670
312,2.0148
313,1.0074
314,2.0148
315,1.0672
316,1.1754
317,0.0109
318,0.1321
319,0.0232
320,3.0221
321,2.0929
322,1.0441
323,0.0000
324,0.0000
325,1.1402
326,0.0000
327,0.0468
328,0.0842
329,0.0000
330,0.0026
331,1.0074
332,1.0535
333,2.0193
334,1.1195
335,1.0052
336,3.0409
337,1.0074
338,2.0244
339,0.0000
340,0.0689
341,0.0116
342,0.1528
343,0.0604
344,1.0074
345,2.0148
346,0.0715
347,3.0089
348,0.0577
349,1.0265
350,0.9964
351,1.0338
352,0.0000
353,0.0000
354,0.0215
355,0.0526
356,0.0000
357,1.0249
358,1.0343
359,1.0074
360,0.0000
361,0.0098
362,0.0055
363,0.1673
364,0.0000
365,0.0217
366,0.0000
367,1.0165
368,2.0160
369,0.0000
370,2.0038
371,1.0091
372,0.0000
373,0.0287
374,0.0000
375,0.0000
376,1.0264
377,0.0000
378,0.0000
379,0.0000
380,0.2356
381,0.0000
382,0.0000
383,0.0000
384,0.0000
385,0.2163
386,0.0000
387,0.0000
388,1.2438
389,0.0000
390,2.0148
391,1.0074
392,0.0000
393,0.0000
394,0.0000
395,0.0000
396,0.0361
397,1.0074
398,1.0074
399,0.0401
400,0.0000
401,0.1076
402,0.0647
403,2.0256
404,0.0260
405,2.0248
406,2.0148
407,0.0147
408,0.0000
409,1.0074
410,1.0074
411,0.0000
412,1.0074
413,0.0000
414,0.0000
415,0.0000
416,1.0074
417,0.1856
418,0.0306
419,1.0074
420,0.0000
421,0.0000
422,1.0074
423,1.0074
424,1.0074
425,1.0154
426,0.0000
427,1.0074
428,0.9964
429,2.0038
430,0.0028
431,0.0000
432,2.5252
433,0.3437
434,2.0235
435,0.0000
436,0.9964
437,3.0002
438,4.1721
439,3.1367
440,2.0140
441,3.0112
442,5.2266
443,2.2593
444,1.0659
445,4.1320
446,5.1772
447,1.0074
448,2.0549
449,2.0038
450,3.9966
451,5.9894
452,3.9966
453,2.0526
454,5.0674
455,1.9928
456,5.9894
457,3.0625
458,7.0513
459,7.9712
460,2.0038
461,6.0113
462,1.9928
463,1.9928
464,6.0997
465,1.9928
466,7.1093
467,6.0903
468,2.0696
469,3.1230
470,5.0206
471,3.0808
472,5.1035
473,0.0000
474,6.9748
475,0.1633
476,3.0331
477,5.0040
478,5.0272
479,3.0287
480,5.0071
481,6.0004
482,5.2075
483,2.0707
484,4.2368
485,1.0658
486,5.2264
487,1.0074
488,2.0840
489,1.0074
490,0.9964
491,2.0756
492,1.9928
493,0.0720
494,0.9964
495,4.1156
496,0.2705
497,1.9928
498,1.1923
499,1.9928
500,1.9928
501,0.0478
502,1.9928
503,0.0147
504,2.1437
505,1.1708
506,0.0000
507,2.0252
508,0.0249
509,0.9964
510,0.0000
511,2.0038
512,1.0074
513,1.0485
514,0.0044
515,0.9964
516,1.0258
517,1.1835
518,3.9856
519,2.0282
520,2.9980
521,2.9946
522,1.0667
523,0.0246
524,3.9856
525,2.4214
526,1.9928
527,1.9928
528,1.0349
529,0.0000
530,2.9892
531,1.9928
532,2.0834
533,0.9964
534,1.9928
535,1.0687
536,2.0038
537,5.0058
538,3.0609
539,3.1170
540,2.1847
541,1.2424
542,0.1924
543,2.1676
544,1.9928
545,1.0034
546,1.0037
547,1.1344
548,0.9964
549,2.0038
550,2.0038
551,4.0515
552,0.9972
553,2.9892
554,3.1451
555,0.9964
556,2.0112
557,1.3428
558,0.1266
559,0.2402
560,1.2864
561,0.3865
562,0.2868
563,1.2459
564,1.2322
565,1.4460
566,0.4765
567,0.2468
568,1.3129
569,2.1574
570,1.2971
571,0.2054
572,1.3700
573,0.3138
574,0.2383
575,0.1899
576,0.0857
577,1.1073
578,0.0282
579,1.0899
580,0.1521
581,0.9968
582,1.0279
583,1.0251
584,2.0219
585,1.0074
586,0.9986
587,0.0000
588,2.1220
589,2.1193
590,0.0000
591,0.9964
592,0.0114
593,1.0071
594,0.0000
595,0.0000
596,0.0308
597,0.9964
598,0.0532
599,0.0000
600,3.0002
601,0.0000
602,0.1286
603,0.0000
604,0.9964
605,1.1058
606,1.0074
607,0.0000
608,1.0372
609,3.0100
610,0.1203
611,0.0397
612,1.0481
613,0.0119
614,0.9964
